name,type,priority
location,General Company,"['Log1', 'Org1', 'Org2']"
category,General Company,"['Log1', 'Org1', 'Org2']"
stage,General Company,"['Log1', 'Org1', 'Org2']"
social_media,General Company,"['Log1', 'Org1', 'Org2']"
age,General Company,"['Log1', 'Org1', 'Org2']"
create_time,General Company,"['Log1', 'Org1', 'Org2']"
close_time,General Company,"['Log1', 'Org1', 'Org2']"
employees,General Company,"['Log1', 'Org1', 'Org2']"
type,General Company,"['Log1', 'Org1', 'Org2']"
name,Meta Information,"['Log1', 'Org1', 'Org2']"
URL,Meta Information,"['Log1', 'Org1', 'Org2']"
update_time,Meta Information,"['Log1', 'Org1', 'Org2']"
description,Meta Information,"['Log1', 'Org1', 'Org2']"
