name,URL,update_time,description,location,category,stage,social_media,age,create_time,close_time,employees,type,source
Angel,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
Newtons,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
Donelan,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
SaxaVord,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
ESA,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
Linden,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
Rural,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
EV,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
AI,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
lowEarth,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
VC,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
Wikipedia,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
VR,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
Airbus,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
Comparitech,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
Spotify,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
Getirs,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
CNR,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
euro,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
Layoffsfyi,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
EASA,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
Apple,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
DEI,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
RNA,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
apps,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
FloodCube,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
EUOSHA,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
CUR8,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
AirConsole,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
ELECTRON,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
EIC,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
Oxford,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
Narula,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
BNR,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
Nevera,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
Inevitably,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
EcoRunner,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
Crowmies,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
Arinas,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
Heide,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
Fairbuds,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
Trafikverket,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
Arianespace,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
Bitkom,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
Financial,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
Pentagon,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
Boden,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
SuperNode,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
