name,URL,update_time,description,location,category,stage,social_media,age,create_time,close_time,employees,type,source
KYC Hub,https://www.kychub.com,None,"KYC Hub enables organizations to mitigate the risk of financial crime via our workflow orchestration and risk engine that enables rapid building and deployment of due diligence workflows for different use cases. Powered by our AI-enabled APIs and proprietary knowledge graphs, we empower our clients to revolutionize their financial crime risk management.",None,['Financial Services'],Mature,None,None,2018/09/8,None,50,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
Canvas,https://www.canvas-events.co.uk,None,"Canvas is a marketplace with handpicked venues for every type of event. Canvas is free for event planners to use, and we never charge a commission, so you'll always get the best deals a venue can offer.
For busy venue managers who don't have time to chase event inquiries, Canvas is a marketplace that brings leads directly to your inbox. Unlike other event agencies, Canvas is a membership and never charges a commission, so all the profits of your events go straight into your pockets.",None,['Startup Services'],Shipping,None,None,2013/06/1,None,10,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
Deepwrk,https://www.deepwrk.io/,None,"Deepwrk is an online coworking and body doubling app that helps ADHD adults get more done, together.
Deepwrk integrates coworking, gamification, and community to help people with ADHD focus, escape distractions and get more done when working from home.
The platform facilitates body doubling sessions which help members start, stay on track and complete tasks. Users join online deep work sprints and complete their individual tasks in the presence of others. These sprints serve as an anchor that helps those with ADHD avoid distractions, boost motivation and maintain focus. 
The deep work sprints are typically 1 or 2 hours long. During these sessions, members join a small group where they share goals, work on their individual tasks (in silence) and, in the end, check in to discuss progress.
Deepwrk also empowers users to track their progress and provides incentives to maintain focus and consistency. The platform combines gamification rooted in behavioural science with a sense of community to make even the most challenging and tedious tasks more enjoyable and easier to complete.
Deepwrk is a platform specifically designed for people with ADHD who work remotely or from home. It brings out the best parts of the office - a sense of community and gentle social accountability - without the dreaded commute and relentless distractions.
Above else, Deepwrk is a community for ADHD adults to do more and feel supported, connected, and understood.",None,['IT.SaaS'],None,None,None,None,None,None,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
House Of Marketers,https://www.houseofmarketers.com/,None,We’re a team of experienced TikTok Influencer Marketing experts that have insider knowledge of how TikTok works. We help ambitious brands engage Gen Z and Millennials using proven up to date strategies.,None,['Advertising / PR / Marketing'],None,None,None,None,None,None,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
Ingenio Technologies,https://www.ingeniotech.co.uk/,None,"Description:
	Delivering IT Support in Brighton and outsourced IT Services Sussex.
	With Telecoms and IT outsourcing help to Sussex and Surrey since 2005. We provide related services including managed IT support, cyber-security, Office 365, cloud computing – all delivered with exceptional customer service. Every call has a 15 minute response time. Every technician is experienced and certified. Every IT project we do is on time and to budget. Contact Ingenio Technologies today.
Business Hours:
	Mon-Fri: 08:00 - 18:00
	Sat-Sun: Closed
Payment Methods:
	Visa, Invoice, Mastercard
For more information, please contact us with the following details: 
Contact Telephone:
	+44 1273 806211
Contact Email:
hello@ingeniotech.co.uk
Other Social Media Profiles:
https://www.instagram.com/ingenio_tech/
https://www.instagram.com/ingenio_tech/
https://www.linkedin.com/company/ingenio-technologies/",None,['Other'],None,None,None,None,None,None,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
Boxed Community,https://boxedcommunity.com,None,"Boxed Community provides empathic and sustainable support to entrepreneurs and business leaders.
Our activity is structured around facilitating regular and meaningful connection and collaboration. The opportunities we provide for learning, development, focused work, and self-reflection are specifically designed to address the loneliness, isolation, and self-doubt of today's leaders, as well as help them grow their businesses.",None,['Management Consulting'],Shipping,None,None,2019/01/1,None,5,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
David Simpson Apps,https://www.dsapps.dev,None,"David Simpson Apps is a SaaS company based in Nottingham, England.
We specialize in creating apps and integrations that add value for Atlassian and monday-com customers. Our goal is to bring systems together, empowering teams to make faster and more informed decisions.
With over 15 years of experience, we have built a strong reputation in developing applications for both cloud-native and on-premise systems within the Atlassian ecosystem and community.",None,['IT.Software'],Shipping,None,None,2020/03/20,None,5,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
Addfield Projects,https://addfieldprojects.com,None,"Delivering solutions for high-capacity waste, including mining, oil, chemical, and precious metal reclamation. Addfield Projects provides efficient incinerators for compliant waste disposal. We solve complex waste problems, representing British design and manufacturing. Our customer-focused service ensures safe waste disposal. As part of the Addfield Family, we deliver high-capacity incineration and complex waste facilities. Our environmentally sustainable solutions include incinerators with wet and dry filtration systems. We convert waste heat into hot water and electricity, meeting international standards and benefiting the environment.",None,['Manufacturing'],Shipping,None,None,2021/05/6,None,10,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
Roto VR,https://www.rotovr.com,None,"We create cutting-edge consumer electronic products for the XR industry and distribute them to over 65 countries. Our first product is an interactive VR chair called Roto, which solves the problem of exploring the limitless digital world while the user is physically seated in the real world. The Roto product delivers a massively enhanced immersive experience through a combination of patented technologies.",None,['IT.Hardware'],Mature,None,None,2015/03/5,None,10,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
Traze,https://traze.com/,None,"Traze is a leading financial institution that specializes in providing multi-asset trading services, including currencies (foreign exchange, forex or FX), commodities, indices, shares, and cryptocurrencies. With a focus on empowering traders, Traze offers a user-friendly platform, educational resources, and exceptional customer support. With a commitment to excellence and transparency, Traze is dedicated to helping traders create bespoke portfolios and succeed in the dynamic world of trading.",None,['Financial Services'],Shipping,None,None,None,None,100,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
Hypersay,https://hypersay.com/,None,"Do more with less! Wide range of premium features to fit your event’s needs
Hypersay is the one-stop shop for event tech services.
Your event, your way: from small to global, from multi-language to multi-day events and everything in between. Our family of products will turn even the most complex event into a great, memorable experience for everyone, from your team to your guests.

Hypersay Events - End-to-end platform for hosting digital events. => https://hypersay.com/events
Hypersay Studio - Web streaming studio with advanced features like ghost-sharing. => https://hypersay.com/hypersay-studio
Hypersay Slides - Next generation interactive presentation tool. => https://hypersay.com/slides",None,"['Education', 'Startup Services', 'Other']",Mature,None,None,2016/02/16,None,5,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
Wow Shakes & Cakes,https://wowshakesandcakes.co.uk/,None,Wow Shakes & Cakes is the best takeaway and delivery service. They provide a great variety of dessert options on their menu and are constantly updating the menu with new dishes.,None,['Food and Beverage Production'],None,None,None,None,None,None,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
Liveseas,https://liveseas.com,None,"Liveseas is a professional networking platform for the maritime industry. It brings seafarers and maritime employers (shipping companies, manning agencies) directly into contact with each other.",None,['IT.Software'],Shipping,None,None,2023/01/1,None,5,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
Guardian Angel Carers,https://www.gacarers.co.uk/fareham-gosport/,None,"Description:
	From a morning cuppa to supper, or compassionate home care in Fareham and Gosport. You and your family can relax, knowing you can get personalised home care where you want to be - home.
	With continual in-house training, pop-in high-street branches, and enabling light-touch technology, we take care of everything, and our CareAngels can take care of you.
	Home care services
	Domestic care and support
	Companionship care
	Overnight care
	Live in care
	Visiting home care
	Specialist care
Business Hours: 
	Mon: 09:00 - 17:00
	Tue: 09:00 - 17:00
	Wed: 09:00 - 17:00
	Thu: 09:00 - 17:00
	Fri: 09:00 - 17:00
	Sat: Closed
	Sun: Closed
Payment Methods: 
	Visa, Mastercard, American Express, Insurance, Invoice, Personal Check
For more information, please contact us with the following details: 
Contact Telephone: 
	01329 690096
Contact Email: 
fareham@gacarers.com
Social Media Profiles: 
https://www.instagram.com/gac_fareham/",None,['Other'],None,None,None,None,None,None,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
Find Web3 Jobs,https://findweb3.com,None,"Find Web3 Jobs is a Job Board for Crypto, NFTs and the Metaverse for the people looking to build the future of the decentralized internet.
Get daily or weekly job alerts of all new Web3 jobs in engineering, design, marketing, operations, and more.
Find everything you need to join Web3 including the best jobs, the hottest news, and the top tools in the space.",None,"['IT.Software', 'Other']",Development and Testing,None,None,2022/04/1,None,None,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
Service Supply Network,https://www.servicesupplynetwork.co.uk/,None,"Description:
	The Service Supply Network is the UK's leading construction site services company, offering a wide range of solutions including but not limited to: concrete, skip hire, grab hire, concrete pumping and aggregates all possible via our trusted network of partners and suppliers.
With same and next day delivery available you can trust us to provide the best level of service thats also cheap, local and reliable.
Business hours:
	Mon: 08:00 - 17:00
	Tue: 08:00 - 17:00
	Wed: 08:00 - 17:00
	Thu: 08:00 - 17:00
	Fri: 08:00 - 17:00
	Sat: Closed
	Sun: Closed
Payment Method:
	Visa, Invoice, Financing Available, Mastercard
For more information, please contact us with the details below:
Contact Telephone:
	+44 800 031 8406
Other Social Media Profiles:
https://www.linkedin.com/company/servicesupplynetwork/
https://www.instagram.com/servicesupplynetwork/",None,['Other'],None,None,None,None,None,None,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
Studio Garden Rooms,https://studiogardenrooms.co.uk/,None,"Description:
	We are dedicated to designing and building beautiful fully bespoke garden rooms. A Cambridgeshire based business founded upon good design, an eye for detail and excellent communications. We are one of the few garden room companies who offer a genuinely bespoke design service. We design beautiful garden rooms that suit your requirements exactly and that will last a lifetime.
Business hours:
	Mon: 08:30 - 17:30
	Tue: 08:30 - 17:30
	Wed: 08:30 - 17:30
	Thu: 08:30 - 17:30
	Fri: 08:30 - 17:30
	Sat: 08:30 - 17:30
	Sun: Closed
For more information, please contact us with the details below:
Contact Telephone:
	01223 625810
Contact Email:
hello@studiogardenrooms.co.uk
Other Social Media Profiles:
https://www.instagram.com/studiogardenrooms/",None,['Other'],None,None,None,2022/01/1,None,2,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
Small Business IT Support London,https://www.small-business-itsupport-london.co.uk,None,"Small Business IT Support London understands the needs and limitations of small businesses, their focus on growth and their limited resources in maintaining and improving their IT infrastructure. We have extensive experience in supporting hundreds of small businesses in central London over the past seven years and we can make sure that the technology you use is a driver to the business and not a hindrance. Our experienced, highly skilled and friendly team, can feel like you in house IT support but with a much reduced cost and much wider experience to provide a solution to every problem cost effectively.",None,['IT.Service'],None,None,None,2022/10/1,None,3,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
SBFO SERVICE,https://sbfoservice.com,None,"In 2017, SBFO started as a full-service consultancy but faced challenges in 2020 due to the pandemic and the war between Ukraine and Russia, leading us to change our model to a virtual office. Over the last five years, we have had the opportunity to collaborate with clients of various stages, sizes, locations, and spaces. We have consistently found that financial commitment from clients is essential to achieving a successful outcome.
SBFO's comprehensive due diligence process is a shared expense and effort on behalf of the client and investor. Any company that cannot meet this requirement is not a good prospect for its private capital investors. We are positioned to protect investment with small to medium size businesses by providing customized due diligence and management oversight. Our process is custom-designed by each investor or group to clarify what they require to make the best investment decision. You can hedge your bet and minimize your risk by engaging our comprehensive and integrated consulting firm to ensure the best chance of success and the greatest return on your investment.
We know we can save you countless hours via our associate relationships, providing access to a resource of proven professionals in the most diverse and unique fields.",None,['Financial Services'],Shipping,None,None,2021/02/12,None,25,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
SOCK GEEKS,https://sockgeeks.co.uk,None,"Sock Geeks is the UK’s premier Funky Sock subscription company. Specializing in completely original designs, the online retailer has developed a reputation for excellent customer service and high-quality products. Sock Geeks is home to hundreds of socks, which can be bought individually, as three-pack gift sets, or as part of a 12-month subscription. 
The idea behind this novel approach to sock buying is simple yet lots of fun. The recipient starts the subscription by taking a personality quiz. The footwear gurus at Sock Geeks then assess the answers and link the subscriber to a personality profile.
A distinctive, personality-matched pair of high-quality socks is then sent to the subscriber once a month. And because they don’t know exactly what’s coming until it arrives at their door, the lucky recipients get a nice surprise — every time.
Sock Geeks also provide a guarantee with every pair of socks they send out. If the recipient doesn’t like them, they can send them back and receive a free replacement.",None,['E-commerce'],Shipping,None,None,2017/05/1,None,5,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
Bray Interior Renovation,https://bray-interiors.co.uk/,None,"Description:
	Bray Interior Renovations are experts in designing and installing dream rooms across Huddersfield and around Yorkshire. Our skilled team of designers, consultants and installers are passionate about making your project a reality. If you're thinking of a quality fitted kitchen, a designer fitted bedroom or a newly fitted bathroom in Yorkshire, then check out some of our current designs and ranges online.
Business Hours: 
	Mon-Fri: 08:00 - 16:00
	Sat-Sun: Closed
Payment Methods: 
	Cash, Visa, Mastercard, Personal Check, Invoice, Insurance, ATM / Debit
For more information, please contact us with the following details: 
Contact Telephone: 
	+44 1484 911191
Social Media Profiles: 
https://www.instagram.com/bray_interior_renovation/
https://uk.linkedin.com/company/bray-interiors",None,['Other'],None,None,None,2012/01/1,None,None,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
Quensus,https://quensus.com,None,"Quensus provides enterprise water management solutions to protect buildings from water damage and to protect the bottom line by saving up to 60% on bills.
Using a mix of expertise and technology, we offer real-time water monitoring, reports, leak notifications, and automatic shutoff for all areas of a building, making them leak-free and drastically reducing bills anywhere, anytime.
By saving water, we can prevent damage, save money, and conserve our most precious resource at the same time.
This is the goal of Quensus. This is intelligent water management.
How much are you spending on leaks?",None,['IT.Software'],Shipping,None,None,2015/04/8,None,10,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
Bridge Newland Ltd,https://www.bridgenewland.co.uk/,None,"Description:
	Bridge Newland Limited are insolvency practitioners and business recovery specialists who work throughout the whole of the UK from offices based in Rugby and London.
Business hours:
	Mon: 08:00 - 16:00
	Tue: 08:00 - 16:00
	Wed: 08:00 - 16:00
	Thu: 08:00 - 16:00
	Fri: 08:00 - 16:00
	Sat: Closed
	Sun: Closed
For more information, please contact us with the details below:
Contact Telephone:
	+44 1788 544544
Contact Email:
enquiries@bridgenewland.co.uk",None,['Other'],None,None,None,None,None,None,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
Richard Hardie Ashington,https://www.richardhardie.co.uk/,None,"Description:
At Richard Hardie, we deliver comprehensive new MG, Fiat and Abarth cars for sale. We stock a variety of models including the All-New MG4 EV, New MG5 EV, Fiat 500, Fiat 500 EV, Abarth 595, and Abarth 695 and more. We also offer used cars for sale in Ashington with our Used Car Superstore stock. We strive to make your experience with us a special one. Check out our offers and get a great deal on your next new or used car.
 
Business Hours:
Mon: 09:00 - 19:00
	Tue: 09:00 - 19:00
	Wed: 09:00 - 19:00
	Thu: 09:00 - 19:00
	Fri: 09:00 - 19:00
	Sat: 09:00 - 18:00
	Sun: 10:00 - 17:00
 
For more information, please contact us with the following details: 
Contact Telephone:
+44 1670 853000
 
Other Social Media Profiles:
https://www.instagram.com/richardhardiegroup/",None,['Automotive and Services'],None,None,None,None,None,None,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
Marshall Property Estate Agents,http://www.marshall-property.co.uk/,None,"Description:
	Marshall Property is one of the leading estate agents in Liverpool and has been providing the highest level of service since 1986. We have an unrivalled wealth of knowledge and expertise in property sales, lettings and management and we believe our service is second to none. We have a wide range of services on offer including buying, selling, renting and developing and our agents will always go above and beyond to meet the requirements of our clients.
Business Hours:
	Mon: 09:00 - 17:30
	Tue: 09:00 - 17:30
	Wed: 09:00 - 17:30
	Thu: 09:00 - 17:30
	Fri: 09:00 - 17:30
	Sat: 10:00 - 16:00
	Sun: Closed
For more information, please contact us with the following details: 
Contact Telephone:
	0151 242 0870
Other Social Media Profiles:
https://www.instagram.com/marshallproperty/
https://www.linkedin.com/company/marshall-property",None,['Real Estate'],None,None,None,None,None,None,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
Paramount Pools,https://www.paramountpools.co.uk/,None,"Description:
	Paramount Pool Products are trade suppliers to the swimming pool industry supplying high-quality swimming pool equipment to professional pool installers and retail outlets throughout the UK including the Channel Islands as well as Ireland.
Majoring in two of the world's bestselling branded products, Aquamatic Safety Covers and Waterco Heat Pumps, we offer an unparalleled quality product and service within the swimming pool industry.
Business Hours:
	Mon - Fri: 9:00 - 17:00
	Sat - Sun: Closed
Payment Methods:
	Visa, Mastercard, PayPal
For more information, please contact us with the following details: 
Contact Telephone:
	01256 686615
Contact Email:
sales@paramountpools.co.uk",None,['Other'],None,None,None,None,None,None,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
Arithmix,https://www.arithmix.com,None,"Arithmix is the next-generation spreadsheet - a collaborative, web-based platform for working with numbers that’s powerful yet easy to use. 
Arithmix looks and feels like a spreadsheet but brings in more powerful functionality of a database or enterprise planning solution. The key difference is that in a spreadsheet, your data lives in cells and is referenced solely by the cell location name (which makes it fragile to edit and prone to errors). While in Arithmix, data is automatically organized into tables and groups that can be used and reused like building blocks. This allows for easy pivoting, simple calculation building, and streamlines analysis, model building and editing, and reporting. Calculations or changes to data in one place populate throughout your plan – no more copy forward/copy across. 
Arithmix is fully collaborative, giving your entire team access to your numbers and the ability to work together seamlessly.",None,['IT.Software'],Development and Testing,None,None,2019/12/11,None,50,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
Bitcoin System,https://bitcoin-system.net/?utm_source=gmb&utm_medium=organic&utm_campaign=gmb_gb,None,"Bitcoin System applies advanced HFT trading techniques to bet on BTC volatility. These include scalping, which involves using high leverage to generate huge profits from slight price movements. Our trading system conducts all trading automatically and at an extremely high win rate.
 
We are the first AI-driven system for exclusive BTC volatility trading. Artificial Intelligence (AI) is the backbone of any worthwhile auto-trading system. The Bitcoin System trading system also capitalizes on blockchain and smart contracts for a seamless and transparent trading environment.
 
Bitcoin System is free, easy to use and safe for all. We may introduce a registration fee in future for all new accounts. Take advantage of the free license by signing up now. We ensure users safety through military-grade encryption measures. Moreover, we fully adhere to the GDPR data privacy law.",None,['Financial Services'],None,None,None,None,None,None,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
Lofti,https://lofti.co/,None,"Property Management Software for those who Let and Manage. Efficient workflows to be on top of your lettings and property management operations, from start to finish!
Check out or homepage to know more about Lofti property management software
To check our pricing visit our pricing page",None,['Real Estate'],Development and Testing,None,None,2020/01/6,None,35,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
Rise - The Growth Marketing Collective,https://www.risemarketing.uk,None,"Rise is a collective of London-based growth focused digital marketing professionals working with some of the world's highest-growth startups and SMBs.
We'll help you to dedicate resource and budget only where it's best utilised, so no need for expensive agencies or mismatched personnel. If you pivot, so do we.
We'll provide full strategic and tactical marketing support, working closely with tech teams to optimise the full customer journey",None,['Advertising / PR / Marketing'],Shipping,None,None,2017/01/1,None,5,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
AtOnce,https://atonce.com,None,"AtOnce is the best AI writer, AI content generator, and CRM. Create blog posts, emails, Ads, images, and more in minutes and save up to 90% of your time with AtOnce's AI. 
Our powerful language model is trained on 1.7 billion SEO and marketing articles from the world's leading experts to help you write anything 10x faster.",None,['IT.SaaS'],Co-Founder,None,None,2022/04/22,None,5,None,1 1 0 1 1 1 1 0 0 1 0 1 0 0
